destination_borough,avg_tips
Bronx,2.0868565525794778
Queens,4.15924238311613
N/A,9.298904941374461
Brooklyn,3.532103026244691
Staten Island,6.69809294160673
EWR,12.081483917011411
Manhattan,2.1547904548673906
Unknown,1.979041999605036
