hour,avg_speed
0,20.670512110635546
1,24.310914212557265
2,26.97877767441737
3,27.534220359865436
4,38.12100845228745
5,45.101947757279135
6,29.89076462247606
7,25.606688188643986
8,16.29397549061885
9,15.83908896948381
10,15.809075879705434
11,11.90279569770121
12,13.74133764387245
13,15.293732324802978
14,15.141389171431555
15,7.942466314738545
16,13.844350347333767
17,15.015843851371399
18,15.239267143474406
19,18.688622645674815
20,27.379932892652107
21,24.454379386620463
22,19.808314281215996
23,22.39103353650685
