month,trips
MARCH,750856
SEPTEMBER,650625
APRIL,707254
JULY,631823
JANUARY,717008
JUNE,689804
DECEMBER,635389
NOVEMBER,671494
OCTOBER,717303
FEBRUARY,708000
AUGUST,615901
MAY,723591
